_id,name,description,thumbnail,status,price,hasExam,owner,createdAt,updatedAt,__v
66e2b091932333a9f737aa76,Complete React course for beginner,Let's learn react,https://i.ytimg.com/vi/eCU7FfMl5WU/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T09:12:49.480Z,2024-09-12T09:12:49.480Z,0
66e2db94ce0d26e4e8b3f1f9,Backend development in JavaScript,I just love Ice tea and I love code. This series will take you to next level of backend development with javascript.,https://i.ytimg.com/vi/nhmMx-ys_zQ/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:16:20.917Z,2024-09-12T12:25:34.707Z,0
66e2dd65ce0d26e4e8b3f362,MongoDB aggregation Pipelines,"Learn mongoDB aggregation pipelines. If you are done created basic MongoDB CRUD apps, take things to next level by using stages and aggregation pipelines with this easy to follow guide",https://i.ytimg.com/vi/SUZKhBvxW5c/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:24:05.099Z,2024-09-12T12:24:05.099Z,0
66e2de54ce0d26e4e8b3f419,Git for beginner,"Git for beginner is a series focused on folks who want to get started with git or Github or similar version control system. Series is freshly recorded with high quality Audio, Video and content quality.\nTools used:\ngit: https://git-scm.com/\nTerminal: https://www.warp.dev/\nEditor: https://code.visualstudio.com/",https://i.ytimg.com/vi/7tOLcNZfPso/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:28:04.720Z,2024-09-12T12:28:04.720Z,0
66e2dfe7ce0d26e4e8b3f4ce,Javascript course,A Good JavaScript Series,https://i.ytimg.com/vi/2md4HQNRqJA/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:34:47.422Z,2024-09-12T12:36:35.025Z,0
66e2e0eace0d26e4e8b3f8d4,Fun with Tailwind,A fun series to explore tailwind.,https://i.ytimg.com/vi/fnbOLnGGxYk/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:39:06.574Z,2024-09-12T12:39:06.574Z,0
66e2e33ace0d26e4e8b3f96e,Linked List | Beginner to Advanced for FAANG Interview Rounds,"This series is language-independent, and we have used pseudocode in all the lectures.\r\n\r\nPlease follow this sheet for a better learning experience: https://takeuforward.org/linked-list/top-linkedlist-interview-questions-structured-path-with-video-solutions/",https://i.ytimg.com/vi/cg6JGiXhQ9c/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:48:58.899Z,2024-09-12T12:58:13.345Z,0
66e2e3a3ce0d26e4e8b3fb65,Stack and Queue Playlist | Language Independent Series,"In this playlist, you will learn about Stack and Queue algorithms in depth. You will also find notes, and code for your specific language. \n\nThe focus is to do this playlist without being dependent on any language so that you can improve your problem-solving skills. \n\nFind the problem links under Day 9 of DSA Course: https://takeuforward.org/strivers-a2z-dsa-course/strivers-a2z-dsa-course-sheet-2/",https://i.ytimg.com/vi/tqQ5fTamIN4/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:50:43.722Z,2024-09-12T12:50:43.722Z,0
66e2e3fdce0d26e4e8b3fcdc,Dynamic Programming for Interviews,"This playlist is created for people who are looking to revise, or for people who want to cover the topics, and do not have much time on their hands for Interviews. \r\n\r\nThis is an extracted playlist from the bigger one, which was created to teach you everything in depth, but that is for people who have a lot of time on their hands, and they can practice.  \r\n\r\nBigger Playlist: https://www.youtube.com/playlist?list=PLgUwDviBIf0qUlt5H_kiKYaNSqJ81PMMY",https://i.ytimg.com/vi/tyB0ztf0DNY/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:52:13.985Z,2024-09-12T12:56:53.510Z,0
66e2e44dce0d26e4e8b3feb3,Arrays Course | Basics to Advanced DSA for Placements,,https://i.ytimg.com/vi/37E9ckMDdTk/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T12:53:33.120Z,2024-09-12T12:57:53.469Z,0
66e2e5f0ce0d26e4e8b400f6,Rust Programming Language,,https://i.ytimg.com/vi/unRhxbFULII/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T13:00:32.136Z,2024-09-12T13:00:32.136Z,0
66e2e719ce0d26e4e8b401ec,WebRTC Crash Course | Video Calling Technology,,https://i.ytimg.com/vi/pGAp5rxv6II/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T13:05:29.922Z,2024-09-12T13:28:07.824Z,0
66e2edbfce0d26e4e8b402a3,Master React Native | Build Amazing Mobile Apps Projects,Master the foundations of React Native and build your first full-stack mobile app.,https://i.ytimg.com/vi/kmy_YNhl0mw/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T13:33:51.540Z,2024-09-12T13:34:43.725Z,0
66e2ef5ece0d26e4e8b40339,Machine Learning,"The ""Machine Learning"" playlist is a comprehensive collection of videos designed to help anyone learn the basics of machine learning and its various applications.\n\nIn this playlist, you'll find a wide range of topics, including the fundamentals of machine learning, data preparation, model building, and evaluation. You'll also discover how machine learning is being used in various industries, such as healthcare, finance, and marketing.\n\nEach video in the playlist is presented in an easy-to-follow format, with clear explanations and examples to help you grasp the key concepts. Whether you're new to machine learning or looking to expand your knowledge, this playlist will provide you with a solid foundation to build upon.",https://i.ytimg.com/vi/K-Z6GBslizA/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T13:40:46.897Z,2024-09-12T13:40:46.897Z,0
66e2f232ce0d26e4e8b40536,Learn Solidity (0.5) by Examples,,https://i.ytimg.com/vi/hMwdd664_iw/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T13:52:50.805Z,2024-09-12T13:52:50.805Z,0
66e2f2b2ce0d26e4e8b4076c,Foundry Developement,,https://i.ytimg.com/vi/tgs5q-GJmg4/default.jpg,published,99,false,66b5a6c2cd3c10208dfc5289,2024-09-12T13:54:58.064Z,2024-09-12T13:55:44.900Z,0
